_id,invoice_id,invoice_number,customer_id,employee_id,items[0].name,items[1].name,items[2].name,items[3].name,items[4].name,items[0].price,items[1].price,items[2].price,items[3].price,items[4].price,items[0].product_id,items[1].product_id,items[2].product_id,items[3].product_id,items[4].product_id,items[0].qty,items[1].qty,items[2].qty,items[3].qty,items[4].qty,items[0].total,items[1].total,items[2].total,items[3].total,items[4].total,discount,net,created_at
69c90a05c97dfe5144452dcd,INV1010,INV4622904484,c273,emp42,Eureka Forbes Router 758,D-Link Mixer Grinder 119,Havells Screwdriver 9851,Logitech Tool Box 5821,,43123,5818,16162,30322,,P226,P18,P390,P388,,5,5,3,3,,215615,29090,48486,90966,,7,356975.03,2025-02-28
69c90a05c97dfe5144452dce,INV1011,INV3152920131,c303,emp53,Black & Decker Mouse 7631,Prestige Suitcase 280,,,,11533,28111,,,,P433,P285,,,,3,2,,,,34599,56222,,,,3,85415.03,2025-06-15
69c90a05c97dfe5144452dcf,INV1012,INV1500580267,c124,emp63,Stanley Modem 2488,TP-Link Wiper 4462,,,,30230,10605,,,,P227,P360,,,,1,5,,,,30230,53025,,,,9,77957.4,2025-06-22
69c90a05c97dfe5144452dd0,INV1013,INV8884059334,c218,emp57,Usha Car Battery 1502,Bosch Makeup Kit 5038,Bajaj Face Wash 4093,Eureka Forbes Coffee Maker 6409,,28656,32192,6326,42260,,P156,P103,P294,P347,,2,3,1,5,,57312,96576,6326,211300,,3,352819.07999999996,2025-11-06
69c90a05c97dfe5144452dd1,INV1014,INV7949854780,c461,emp7,D-Link Mixer Grinder 119,Hitachi Cream 9645,,,,23211,16818,,,,P18,P95,,,,5,3,,,,116055,50454,,,,8,162825.75,2025-02-09
69c90a05c97dfe5144452dd2,INV1015,INV9995803808,c445,emp62,Bajaj Pencil 8990,Prestige Towel 4339,Prestige Calendar 7756,,,46798,23831,34231,,,P313,P310,P130,,,3,2,3,,,140394,47662,102693,,,6,277368.5,2025-02-20
69c90a05c97dfe5144452dd3,INV1016,INV1999664916,c380,emp38,Usha Dining Table 3565,Usha Emergency Light 9314,,,,979,49292,,,,P61,P49,,,,3,5,,,,2937,246460,,,,7,237044.63,2025-08-05
69c90a05c97dfe5144452dd4,INV1017,INV4428839873,c343,emp29,Kent Glass Cleaner 7900,Bosch Series 6 Gen 2,Usha Seat Cover 5299,Bosch Clock 159,,19748,46680,18298,32651,,P376,P202,P159,P270,,3,5,4,5,,59244,233400,73192,163255,,1,509663.63,2025-04-19
69c90a05c97dfe5144452dd5,INV1018,INV6975058068,c392,emp58,Panasonic Shoes 1537,Eureka Forbes Chair 7754,Xiaomi Router 9614,,,18227,13709,28055,,,P72,P462,P26,,,4,3,3,,,72908,41127,84165,,,1,185373.68,2025-09-13
69c90a05c97dfe5144452dd6,INV1019,INV9642265617,c467,emp99,TP-Link Chimney 5098,Philips Coolant 1548,,,,36076,21082,,,,P344,P163,,,,5,3,,,,180380,63246,,,,7,232077.16,2026-02-27
69c90a05c97dfe5144452dd7,INV1020,INV7047643461,c113,emp10,Hitachi Sunglasses 505,Black & Decker Cooker 3876,,,,21448,17850,,,,P488,P141,,,,2,3,,,,42896,53550,,,,6,89588.23999999999,2025-01-22
69c90a05c97dfe5144452dd8,INV1021,INV8965006663,c104,emp41,Black & Decker Toaster 6134,Kent Gas Stove 3176,Hitachi Marker 8681,Philips Carpet 5279,Sharp Car 3578,36871,37358,37718,44870,36243,P17,P342,P116,P268,P153,3,1,5,2,5,110613,37358,188590,89740,181215,8,576285.19,2025-01-20
69c90a05c97dfe5144452dd9,INV1022,INV2194913691,c184,emp100,Hitachi Diary 3176,D-Link Engine Oil 4145,Prestige Car Charger 491,Usha Tool Box 8882,,17924,26413,13085,20718,,P128,P361,P157,P188,,5,5,3,2,,89620,132065,39255,41436,,2,286275.39,2025-02-17
69c90a05c97dfe5144452dda,INV1023,INV9941147686,c427,emp70,Usha Scanner 4089,Havells Gaming Console 7626,,,,6135,3395,,,,P214,P231,,,,1,2,,,,6135,6790,,,,4,11632.5,2026-01-01
69c90a05c97dfe5144452ddb,INV1024,INV1349049568,c154,emp38,Corsair Nail Polish 3646,Hitachi Cream 9645,Bosch Hard Drive 446,Black & Decker Coolant 5675,,47710,45193,35514,18117,,P105,P95,P435,P363,,4,4,5,1,,190840,180772,177570,18117,,9,532186.75,2025-01-25
69c90a05c97dfe5144452ddc,INV1025,INV4152080544,c393,emp49,Corsair Inverter 8223,Hitachi Coffee Maker 7982,Black & Decker Water Purifier 5140,D-Link Envelope 2304,TP-Link Jack 4663,21052,48077,7449,20574,23247,P441,P147,P219,P127,P165,5,1,4,3,1,105260,48077,29796,61722,23247,7,251918.5,2025-11-18
69c90a05c97dfe5144452ddd,INV1026,INV7689271531,c96,emp13,Prestige Power Bank 4195,Razer Stapler 3686,Black & Decker Screwdriver 4721,Hitachi Slippers 9690,Prestige Pillow 1015,741,45421,17632,26007,8058,P38,P119,P190,P274,P258,3,1,3,5,4,2223,45421,52896,130035,32232,4,253532.27000000002,2025-09-24
69c90a05c97dfe5144452dde,INV1027,INV1205485814,c248,emp13,Prestige Car Charger 491,Bajaj Bucket 3098,Hitachi Table Lamp 1868,Philips Hard Drive 2240,D-Link Mixer Grinder 119,29669,27608,1175,31518,35516,P157,P169,P448,P35,P18,4,2,1,3,3,118676,55216,1175,94554,106548,3,343942.99,2025-03-26
69c90a05c97dfe5144452ddf,INV1028,INV9853482065,c62,emp43,Hitachi Car Cover 2493,Usha Smart Lock 826,Lenovo IdeaPad 3 Gen 7,,,26407,37245,10053,,,P158,P452,P408,,,2,5,5,,,52814,186225,50265,,,3,276874.89,2025-08-23
69c90a05c97dfe5144452de0,INV1029,INV8644656110,c239,emp42,Eureka Forbes Bag 467,Kent Kettle 7781,Panasonic Glass Cleaner 5654,,,44404,26605,46628,,,P483,P140,P176,,,2,2,5,,,88808,53210,233140,,,7,363880.12,2025-01-07
69c90a05c97dfe5144452de1,INV1030,INV3473943986,c145,emp22,Sharp Rope 4578,Panasonic Fertilizer 6593,Bosch Hard Drive 446,Bosch Helmet 3842,Hitachi Carpet 2268,42326,9481,19107,6586,49180,P368,P383,P435,P154,P68,3,4,1,3,4,126978,37924,19107,19758,196720,6,380049.24,2025-08-21
69c90a05c97dfe5144452de2,INV1031,INV4243076141,c423,emp5,Havells Spoon 1585,Bosch Helmet 3842,D-Link Dustbin 3266,Bosch Pesticide 243,,6233,1624,31187,12233,,P136,P154,P371,P179,,3,5,5,4,,18699,8120,155935,48932,,4,223438.8,2025-04-06
69c90a05c97dfe5144452de3,INV1032,INV9370317250,c381,emp6,Bosch T-Shirt 5135,Black & Decker Helmet Gear 5966,Lenovo Tab P11,,,5715,35241,32657,,,P75,P199,P9,,,2,1,5,,,11430,35241,163285,,,7,196074.08000000002,2025-05-10
69c90a05c97dfe5144452de4,INV1033,INV3989136116,c88,emp100,Havells Clock 7567,Hitachi Insect Killer 514,Logitech Belt 7676,Havells Fertilizer 5773,,5814,48780,9795,18859,,P70,P178,P87,P183,,4,1,4,2,,23256,48780,39180,37718,,7,143866.32,2025-04-21
69c90a05c97dfe5144452de5,INV1034,INV3945051136,c83,emp33,Razer Mirror 6947,Sharp Envelope 325,Bosch Geyser 4545,,,43684,5554,13635,,,P467,P327,P220,,,5,1,4,,,218420,5554,54540,,,5,254702.56,2025-12-26
69c90a05c97dfe5144452de6,INV1035,INV6372897372,c271,emp88,Bosch Deodorant 3292,D-Link Engine Oil 4145,Logitech Mattress 3566,Eureka Forbes Router 758,,11803,9341,3291,36599,,P90,P361,P57,P226,,4,3,3,2,,47212,28023,9873,73198,,7,147431.27,2025-11-13
69c90a05c97dfe5144452de7,INV1036,INV5535054095,c220,emp80,Voltas 1.5 Ton 5 Star Gen 3,Corsair Oven 4960,Eureka Forbes Calendar 3947,Bosch Deodorant 3292,Bosch Safety Gloves 5705,28309,19974,2554,47731,27808,P404,P416,P330,P90,P398,4,2,4,4,1,113236,39948,10216,190924,27808,9,370207.72000000003,2025-11-02
69c90a05c97dfe5144452de8,INV1037,INV9417766140,c184,emp23,Bajaj Wall Light 5619,Sharp Rope 4578,Panasonic Bed 2816,Black & Decker Screwdriver 4721,Eureka Forbes Soundbar 702,11015,4682,19913,45766,40967,P47,P368,P256,P190,P229,2,2,4,4,4,22030,9364,79652,183064,163868,5,428752.95999999996,2025-01-18
69c90a05c97dfe5144452de9,INV1038,INV6399222820,c84,emp70,Bosch Series 6 Gen 2,Panasonic Bag 8276,Eureka Forbes Towel 8633,,,39774,18967,8852,,,P202,P283,P110,,,5,5,3,,,198870,94835,26556,,,3,299381.87,2026-01-03
69c90a05c97dfe5144452dea,INV1039,INV7357887944,c418,emp16,Usha Air Cooler 5555,Havells Garden Hose 6089,Philips Coolant 1548,Black & Decker Toolkit 7183,Sharp Air Cooler 2178,8305,39569,31340,37602,33678,P206,P380,P163,P164,P406,1,1,4,1,5,8305,39569,125360,37602,168390,2,366503.81999999995,2025-07-09
69c90a05c97dfe5144452deb,INV1040,INV8755484160,c34,emp20,Havells Saw 465,Razer Saw 3643,,,,18676,47598,,,,P392,P192,,,,5,2,,,,93380,95196,,,,4,182918.72,2026-01-15
69c90a05c97dfe5144452dec,INV1041,INV6947383915,c369,emp87,Boat Rockerz 450 Gen 10,Hitachi Diary 3176,Hitachi Marker 8681,Panasonic Shoes 1537,,8711,5688,8951,47835,,P210,P128,P116,P72,,3,1,3,3,,26133,5688,26853,143505,,4,183438.39,2025-08-03
69c90a05c97dfe5144452ded,INV1042,INV5024179863,c431,emp92,Havells Measuring Tape 751,Sharp Envelope 325,Prestige Blush 4132,,,6929,26960,23425,,,P196,P327,P308,,,2,4,4,,,13858,107840,93700,,,6,206219.3,2025-05-20
69c90a05c97dfe5144452dee,INV1043,INV4559702611,c458,emp82,Canon PIXMA G3012 Gen 9,Sharp Doormat 4794,,,,8844,32823,,,,P413,P69,,,,2,2,,,,17688,65646,,,,1,78561.9,2025-01-15
69c90a05c97dfe5144452def,INV1044,INV7554416440,c440,emp42,Philips Cupboard 3418,Eureka Forbes Chair 7754,Hitachi Bucket 3775,,,6191,21402,21273,,,P265,P462,P369,,,3,1,4,,,18573,21402,85092,,,2,115708.86,2025-07-31
69c90a05c97dfe5144452df0,INV1045,INV5454059740,c280,emp35,Havells Clock 7567,Hitachi Insect Killer 514,Bosch Plant Pot 4462,,,34841,49847,31330,,,P70,P178,P181,,,5,5,5,,,174205,249235,156650,,,7,567562.35,2025-04-11
69c90a05c97dfe5144452df1,INV1046,INV4168892074,c65,emp17,Logitech Mattress 3566,TP-Link Mop 3547,D-Link Blanket 1166,D-Link Lipstick 7306,Philips Car Charger 7499,14169,47498,40316,19167,3520,P57,P373,P59,P104,P357,2,2,3,2,2,28338,94996,120948,38334,7040,3,273892.75999999995,2025-10-06
69c90a05c97dfe5144452df2,INV1047,INV2139431453,c287,emp53,Corsair Rake 1709,Bosch Series 6 Gen 2,Bajaj Tea Maker 3107,,,3156,23159,35467,,,P385,P202,P148,,,3,4,3,,,9468,92636,106401,,,9,201048.19,2025-11-09
69c90a05c97dfe5144452df3,INV1048,INV7986927648,c500,emp9,Eureka Forbes Hammer 2494,Usha Wallet 2376,Black & Decker Hat 2129,,,44152,1353,17855,,,P189,P86,P482,,,1,2,4,,,44152,2706,71420,,,9,109005.18,2026-01-13
69c90a05c97dfe5144452df4,INV1049,INV7282397487,c19,emp95,TP-Link Doorbell 2817,Xiaomi LED Bulb 5899,Corsair Carpet 9269,D-Link Jeans 3686,Bosch Blanket 4906,9835,7250,47437,11786,35427,P53,P244,P468,P77,P259,4,2,3,5,3,39340,14500,142311,58930,106281,4,334535.03,2025-07-08
69c90a05c97dfe5144452df5,INV1050,INV1289248464,c466,emp70,Kent Speaker 2323,Stanley Projector 6466,Usha Razor 4068,Sharp Rope 4578,,32800,36360,27022,13889,,P228,P230,P99,P368,,2,3,4,4,,65600,109080,108088,55556,,5,320082.60000000003,2025-05-10
69c90a05c97dfe5144452df6,INV1051,INV5718757148,c50,emp7,Sharp Projector 1213,Hitachi Planner 8960,,,,23716,25007,,,,P430,P129,,,,1,1,,,,23716,25007,,,,1,45299.479999999996,2025-10-05
69c90a05c97dfe5144452df7,INV1052,INV3734210769,c487,emp78,Stanley Floor Cleaner 5764,Xiaomi CCTV Camera 2036,Bosch Monitor 2848,Black & Decker Toaster 6134,Razer Toothpaste 1835,39184,801,10188,18775,2705,P175,P250,P234,P17,P97,5,1,1,5,1,195920,801,10188,93875,2705,4,288117.66,2025-07-10
69c90a05c97dfe5144452df8,INV1053,INV4945983488,c5,emp52,D-Link Pendrive 4047,Black & Decker Tyre 4307,Panasonic Bed 2816,,,34470,26129,28641,,,P37,P155,P256,,,4,3,3,,,137880,78387,85923,,,6,272754.87,2025-09-19
69c90a05c97dfe5144452df9,INV1054,INV8258271555,c47,emp49,Bosch Hard Drive 446,Black & Decker Water Purifier 5140,Razer Foundation 4206,Xiaomi Knife 8326,,23846,30638,42130,16097,,P435,P219,P106,P138,,3,1,5,1,,71538,30638,210650,16097,,1,312571.69,2025-03-17
69c90a05c97dfe5144452dfa,INV1055,INV8843462794,c170,emp56,D-Link Mouse 7367,iPad Pro 11 inch Gen 3,D-Link Juicer 3756,Usha Solar Panel 8949,,48913,27803,40516,27619,,P33,P409,P346,P43,,4,4,4,1,,195652,111212,162064,27619,,4,470850.02,2025-06-17
69c90a05c97dfe5144452dfb,INV1056,INV2192428422,c51,emp62,Stanley Plant Pot 4151,Logitech Gas Stove 2816,Havells Measuring Tape 751,Logitech Dining Table 7588,,35717,41767,12193,7736,,P381,P142,P196,P261,,1,2,3,5,,35717,83534,36579,38680,,10,185612.2,2025-11-21
69c90a05c97dfe5144452dfc,INV1057,INV1012314818,c53,emp86,Usha Vacuum Cleaner 628,Havells Perfume 1500,Usha Makeup Kit 2399,TP-Link Wallet 3437,,15028,6908,12211,45826,,P424,P489,P303,P486,,5,3,3,3,,75140,20724,36633,137478,,1,254389.21000000002,2025-06-11
69c90a05c97dfe5144452dfd,INV1058,INV7109449619,c198,emp95,Logitech Pan 1171,Sharp Scooter 4697,,,,26236,1577,,,,P139,P352,,,,1,3,,,,26236,4731,,,,2,29298.22,2025-09-12
69c90a05c97dfe5144452dfe,INV1059,INV2465818444,c179,emp43,TP-Link Razor 560,Corsair Inverter 4653,Usha Monitor 5734,,,21004,4588,26915,,,P299,P41,P34,,,3,3,3,,,63012,13764,80745,,,7,149427.75,2025-06-11
69c90a05c97dfe5144452dff,INV1060,INV6802193660,c436,emp86,Bosch Wrench 7114,Stanley Projector 6466,,,,8749,34208,,,,P193,P230,,,,4,2,,,,34996,68416,,,,7,97175.76000000001,2025-07-11
69c90a05c97dfe5144452e00,INV1061,INV3843668517,c94,emp53,Noise ColorFit Pulse Gen 1,D-Link Sprayer 2085,LG Dual Inverter Gen 3,,,47932,19007,283,,,P411,P386,P204,,,1,3,4,,,47932,57021,1132,,,6,101657.59000000001,2025-04-01
69c90a05c97dfe5144452e01,INV1062,INV1212620171,c127,emp10,Black & Decker Mouse 7631,Havells Perfume 1500,,,,27907,33219,,,,P433,P489,,,,2,3,,,,55814,99657,,,,2,149132.45,2025-10-02
69c90a05c97dfe5144452e02,INV1063,INV6335911261,c253,emp69,Stanley Door Lock 383,TP-Link Doorbell 2817,,,,5612,7930,,,,P51,P53,,,,3,5,,,,16836,39650,,,,6,55416.06,2025-09-11
69c90a05c97dfe5144452e03,INV1064,INV5062595547,c159,emp15,Xiaomi Dishwasher 7724,TP-Link Sandals 5870,Eureka Forbes Tape 3387,Boat Wave Sigma,,39640,18195,23495,16978,,P425,P473,P195,P11,,3,3,4,2,,118920,54585,93980,33956,,7,280527.79000000004,2025-05-02
69c90a05c97dfe5144452e04,INV1065,INV5433481933,c360,emp82,Logitech Sprayer 2323,Razer Mirror 3969,Logitech Mattress 3566,,,36358,12620,36408,,,P186,P67,P57,,,1,5,4,,,36358,63100,145632,,,1,225675.12,2025-09-15
69c90a05c97dfe5144452e05,INV1066,INV9310418257,c351,emp85,Prestige Blush 4132,Razer Conditioner 5430,Bajaj Pencil 8990,Canon PIXMA G3012 Gen 9,,41949,947,24588,13221,,P308,P292,P313,P413,,1,1,4,3,,41949,947,98352,39663,,9,169363.88,2026-01-02
69c90a05c97dfe5144452e06,INV1067,INV8799307558,c182,emp74,Razer Measuring Tape 8125,Havells Induction Cooktop 1510,Stanley Shorts 8761,D-Link Calculator 4565,Black & Decker Jacket 1275,38656,11321,44341,13544,26562,P396,P143,P280,P121,P478,5,5,3,1,4,193280,56605,133023,13544,106248,7,477236.44000000006,2025-07-12
69c90a05c97dfe5144452e07,INV1068,INV5090613778,c301,emp91,Corsair Carpet 9269,TP-Link Watch 7509,Hitachi Marker 8681,Bosch Dressing Table 3813,Usha Smart Lock 826,15494,38157,17222,13585,30176,P468,P71,P116,P66,P452,5,3,4,4,2,77470,114471,68888,54340,60352,7,356933.11,2025-01-26
69c90a05c97dfe5144452e08,INV1069,INV6147665746,c493,emp1,Stanley Ceiling Light 3926,Bosch Series 6,Xiaomi Microwave 3082,Havells Pen 2561,,43658,30329,44142,17997,,P246,P2,P15,P112,,3,1,2,5,,130974,30329,88284,89985,,10,322266.11,2025-01-26
69c90a05c97dfe5144452e09,INV1070,INV5561777033,c305,emp28,Hitachi Pliers 134,Prestige Ceiling Light 4792,,,,9025,18353,,,,P394,P446,,,,1,3,,,,9025,55059,,,,8,60970.05,2025-12-15
69c90a05c97dfe5144452e0a,INV1071,INV4269466065,c310,emp24,Black & Decker Notebook 8109,Panasonic Cupboard 5834,D-Link Table Lamp 7411,,,43282,46867,21628,,,P111,P465,P48,,,1,4,5,,,43282,187468,108140,,,6,312499.72000000003,2025-02-15
69c90a05c97dfe5144452e0b,INV1072,INV8116623957,c345,emp60,Sharp Cap 6666,Havells Door Lock 170,Corsair Inverter 8223,,,16845,7017,36387,,,P481,P451,P441,,,2,5,2,,,33690,35085,72774,,,9,132236.25,2025-01-04
69c90a05c97dfe5144452e0c,INV1073,INV6991300401,c28,emp78,Bosch Blanket 4906,D-Link Envelope 2304,Havells Spoon 1585,Boat Rockerz 450 Gen 10,,27535,34844,39823,48563,,P259,P127,P136,P210,,3,5,3,5,,82605,174220,119469,242815,,4,583996.09,2025-08-31
69c90a05c97dfe5144452e0d,INV1074,INV1843453859,c338,emp72,Sharp Wiper 2877,TP-Link Wiper 4462,Hitachi Smart Lock 2722,,,25905,3546,38089,,,P160,P360,P252,,,2,2,3,,,51810,7092,114267,,,3,162708.12,2026-01-16
69c90a05c97dfe5144452e0e,INV1075,INV9790102611,c424,emp18,Black & Decker Jacket 1275,Corsair Inverter 4020,Black & Decker Shirt 7450,,,8146,26111,33782,,,P478,P241,P476,,,2,3,4,,,16292,78333,135128,,,7,209321.88,2025-05-10
69c90a05c97dfe5144452e0f,INV1076,INV8394250850,c334,emp75,Hitachi Planner 8960,Prestige Torch 4409,TP-Link Thermos 8277,Havells Mixer Grinder 9465,,7187,27798,30028,12962,,P129,P167,P133,P218,,1,1,1,1,,7187,27798,30028,12962,,5,71010.38,2025-08-07
69c90a05c97dfe5144452e10,INV1077,INV5921326033,c344,emp57,TP-Link Charger 9017,Corsair Oven 9755,Kent Room Freshener 6823,Havells Perfume 1500,Razer Mirror 3969,7395,26736,6491,49456,10587,P439,P216,P177,P489,P67,5,5,4,4,3,36975,133680,25964,197824,31761,7,401995.5,2026-01-15
69c90a05c97dfe5144452e11,INV1078,INV5286328957,c102,emp52,Havells Battery 2449,Black & Decker Brake Oil 8706,Stanley Sandals 7987,Sony Bravia 55 inch Gen 8,,22312,31946,46835,5417,,P42,P362,P273,P405,,2,1,4,4,,44624,31946,187340,21668,,8,276737.74,2025-08-03
69c90a05c97dfe5144452e12,INV1079,INV4325250707,c169,emp61,Kent Kettle 589,Bosch Deodorant 3292,,,,42881,45676,,,,P340,P90,,,,4,2,,,,171524,91352,,,,2,249042.28000000003,2026-01-08
69c90a05c97dfe5144452e13,INV1080,INV3284629579,c222,emp83,D-Link File Folder 5418,D-Link Ladder 2088,Sharp Cooker 1656,,,30509,19485,20748,,,P318,P387,P341,,,2,5,3,,,61018,97425,62244,,,2,208796.36,2025-05-03
69c90a05c97dfe5144452e14,INV1081,INV5953130599,c329,emp25,Bajaj Car 5872,D-Link Soap 6269,Bosch Tape 5014,Bosch Toolkit 4558,Philips Pendrive 7416,47764,18779,893,24053,28270,P353,P293,P395,P364,P237,2,2,2,5,4,95528,37558,1786,120265,113080,1,352310.21,2025-11-11
69c90a05c97dfe5144452e15,INV1082,INV1873705237,c24,emp76,Havells Mixer Grinder 9465,Sharp Pillow 7149,Razer Foundation 4206,Bosch Deodorant 3292,,9473,41672,28006,7420,,P218,P458,P106,P90,,3,1,2,4,,28419,41672,56012,29680,,7,145865.9,2025-12-22
69c90a05c97dfe5144452e16,INV1083,INV9035843851,c255,emp71,Usha Solar Panel 8949,Usha Dressing Table 1211,Bajaj Power Bank 5342,Usha Glue 1186,,14602,48909,27916,42118,,P43,P266,P238,P120,,1,5,4,3,,14602,244545,111664,126354,,2,476237.26,2026-02-22
69c90a05c97dfe5144452e17,INV1084,INV3005726717,c204,emp5,Razer Sweater 8123,Havells Battery 2449,TP-Link Level Tool 8540,Xiaomi Dishwasher 7724,TP-Link Deodorant 1697,23972,36470,26351,24209,7364,P479,P42,P397,P425,P290,2,4,2,1,3,47944,145880,52702,24209,22092,9,279982.72000000003,2025-03-12
69c90a05c97dfe5144452e18,INV1085,INV2091969415,c339,emp10,Philips Cupboard 3418,Prestige Ceiling Light 4792,Eureka Forbes LED Bulb 1814,Hitachi Bucket 3775,Eureka Forbes Blanket 3331,20714,40829,2932,19744,29039,P265,P446,P444,P369,P459,3,3,2,5,3,62142,122487,5864,98720,87117,5,359250.63,2025-07-01
69c90a05c97dfe5144452e19,INV1086,INV7231891049,c258,emp91,Sharp Air Cooler 2178,Sharp Sandals 2609,Xiaomi Eyeliner 9519,Logitech Toaster 1572,,30980,44244,49842,7539,,P406,P73,P307,P217,,3,1,4,4,,92940,44244,199368,30156,,2,338974.44,2025-08-24
69c90a05c97dfe5144452e1a,INV1087,INV7860953452,c250,emp35,Logitech Pan 1171,Black & Decker Solar Panel 9210,Razer Toothpaste 6851,Stanley Projector 6466,,349,9059,34290,28677,,P139,P243,P297,P230,,4,4,5,4,,1396,36236,171450,114708,,8,304332.96,2025-08-04
69c90a05c97dfe5144452e1b,INV1088,INV9498608483,c228,emp45,Hitachi Marker 8681,Logitech Hard Drive 6313,Bosch Car Battery 8704,,,25602,38463,41827,,,P116,P235,P356,,,5,2,4,,,128010,76926,167308,,,6,354024.77999999997,2025-12-16
69c90a05c97dfe5144452e1c,INV1089,INV2044821843,c377,emp37,Eureka Forbes Coffee Maker 6409,TP-Link Sandals 5870,Kent Kettle 589,Bosch T-Shirt 5135,,29356,26325,14048,46565,,P347,P473,P340,P75,,2,1,4,1,,58712,26325,56192,46565,,2,176029.95,2025-10-17
69c90a05c97dfe5144452e1d,INV1090,INV3971578175,c243,emp56,Panasonic Thermos 6146,Corsair Nail Polish 3646,Panasonic Wrench 2862,Eureka Forbes Dishwasher 9107,Bajaj Mouse 8421,28910,12777,32263,27776,44016,P333,P105,P393,P225,P233,1,5,3,5,3,28910,63885,96789,138880,132048,2,442905.47000000003,2025-11-14
69c90a05c97dfe5144452e1e,INV1091,INV8813955566,c320,emp32,Prestige Duster 9712,Bajaj Mug 4351,,,,4254,33985,,,,P125,P170,,,,1,4,,,,4254,135940,,,,7,130508.04,2025-10-16
69c90a05c97dfe5144452e1f,INV1092,INV5533631938,c112,emp59,Corsair Inverter 4020,Bajaj Mouse 8421,Black & Decker Mattress 8527,,,40492,17231,16511,,,P241,P233,P257,,,4,5,2,,,161968,86155,33022,,,10,261599.69,2026-01-22
69c90a05c97dfe5144452e20,INV1093,INV1029190776,c19,emp70,Xiaomi Eyeliner 2128,Kent Soap 134,Eureka Forbes Tea Maker 8780,,,27742,6978,9316,,,P107,P493,P348,,,1,4,3,,,27742,27912,27948,,,1,78313.66,2025-08-19
69c90a05c97dfe5144452e21,INV1094,INV8120524896,c28,emp99,Black & Decker Keyboard 9515,Kent Face Wash 5797,Panasonic Marker 7845,D-Link Tyre 363,,37456,22019,3772,200,,P32,P94,P316,P355,,5,2,1,2,,187280,44038,3772,400,,2,228857.68,2026-02-01
